gene,probe,log2FC,fold_change,p_value,p_adj,status
SLC39A7,202667_s_at,0.6871359924342029,1.6100840390745232,6.902393508064563e-10,6.029244787934248e-09,Up
TDO2,205943_at,0.6867825001470775,1.6096895810972418,1.431985769675618e-05,5.800570606377349e-05,Up
EPS15,217886_at,-0.6857635947646035,0.6216766963014242,7.769528687886472e-16,1.7720410210048543e-14,Down
NKG7,213915_at,-0.6853556487153449,0.6218525105966611,2.7835962889536204e-07,1.542957117083421e-06,Down
PNISR,212179_at,-0.6850582011439119,0.6219807342219397,2.6304471770275145e-12,3.4478973203355357e-11,Down
MRPS33,218654_s_at,0.6841486053691046,1.6067534892644346,1.563210468431443e-19,6.414920601852273e-18,Up
CRBN,218142_s_at,-0.6839818621291354,0.6224449431529537,1.7501792287105826e-17,5.227780663988997e-16,Down
SCD,200832_s_at,-0.6839326937156933,0.6224661570276575,2.25691091414022e-06,1.057639240794669e-05,Down
MRPL9,209609_s_at,0.6834859901213974,1.6060156930740328,6.964179157150939e-17,1.878726442600416e-15,Up
TAGLN,205547_s_at,-0.6834207200334248,0.6226870927311533,5.953664961886809e-06,2.5601218901143144e-05,Down
DAP,201095_at,0.6833898862614287,1.6059087133158307,1.3542096222362804e-13,2.1914199718439388e-12,Up
KIAA0907,202220_at,0.6830431329570725,1.6055227778116734,2.150868364971012e-10,2.060524495986632e-09,Up
SPOCK1,202363_at,0.6825871813796622,1.6050154460770223,1.2025734144691817e-08,8.453294446251348e-08,Up
CCT2,201947_s_at,0.6825042277593223,1.604923161837812,2.9889855172141425e-07,1.6485995164765252e-06,Up
FPR1,205119_s_at,-0.6823012735105571,0.6231704488054995,2.8918911400492623e-10,2.690683441340249e-09,Down
MLLT11,211071_s_at,0.6811948793223079,1.603467240610053,0.00013779995150514843,0.0004673650882423142,Up
